transactionId,productId,transactionAmount,transactionDatetime
1,10,4000,2023-09-01 00:00:00
2,30,1000,2023-09-01 00:05:00
3,40,3000,2023-09-01 00:10:00
4,10,4000,2023-09-01 00:15:00
5,30,3000,2023-09-01 00:20:00
6,10,4000,2023-09-01 00:25:00
7,40,1000,2023-09-01 00:30:00
8,20,2000,2023-09-01 00:35:00
9,20,2000,2023-09-01 00:40:00
10,20,3000,2023-09-01 00:45:00
11,20,1000,2023-09-01 00:50:00
12,20,4000,2023-09-01 00:55:00
13,40,3000,2023-09-01 01:00:00
14,10,4000,2023-09-01 01:05:00
15,40,2000,2023-09-01 01:10:00
16,30,4000,2023-09-01 01:15:00
17,40,2000,2023-09-01 01:20:00
18,10,1000,2023-09-01 01:25:00
19,10,2000,2023-09-01 01:30:00
20,20,2000,2023-09-01 01:35:00
21,20,4000,2023-09-01 01:40:00
22,30,3000,2023-09-01 01:45:00
23,10,3000,2023-09-01 01:50:00
24,30,1000,2023-09-01 01:55:00
25,40,4000,2023-09-01 02:00:00
26,40,4000,2023-09-01 02:05:00
27,20,3000,2023-09-01 02:10:00
28,30,3000,2023-09-01 02:15:00
29,20,3000,2023-09-01 02:20:00
30,40,4000,2023-09-01 02:25:00
31,30,2000,2023-09-01 02:30:00
32,30,1000,2023-09-01 02:35:00
33,10,2000,2023-09-01 02:40:00
34,20,3000,2023-09-01 02:45:00
35,40,3000,2023-09-01 02:50:00
36,20,2000,2023-09-01 02:55:00
37,20,2000,2023-09-01 03:00:00
38,40,1000,2023-09-01 03:05:00
39,20,1000,2023-09-01 03:10:00
40,10,1000,2023-09-01 03:15:00
41,10,3000,2023-09-01 03:20:00
42,40,4000,2023-09-01 03:25:00
43,30,4000,2023-09-01 03:30:00
44,30,1000,2023-09-01 03:35:00
45,10,4000,2023-09-01 03:40:00
46,40,2000,2023-09-01 03:45:00
47,10,2000,2023-09-01 03:50:00
48,20,4000,2023-09-01 03:55:00
49,40,3000,2023-09-01 04:00:00
50,20,2000,2023-09-01 04:05:00
51,20,1000,2023-09-01 04:10:00
52,30,1000,2023-09-01 04:15:00
53,20,2000,2023-09-01 04:20:00
54,30,3000,2023-09-01 04:25:00
55,30,1000,2023-09-01 04:30:00
56,40,2000,2023-09-01 04:35:00
57,30,2000,2023-09-01 04:40:00
58,30,1000,2023-09-01 04:45:00
59,40,3000,2023-09-01 04:50:00
60,10,4000,2023-09-01 04:55:00
61,40,4000,2023-09-01 05:00:00
62,40,1000,2023-09-01 05:05:00
63,10,3000,2023-09-01 05:10:00
64,20,1000,2023-09-01 05:15:00
65,40,4000,2023-09-01 05:20:00
66,10,1000,2023-09-01 05:25:00
67,40,4000,2023-09-01 05:30:00
68,10,3000,2023-09-01 05:35:00
69,40,3000,2023-09-01 05:40:00
70,30,1000,2023-09-01 05:45:00
71,40,2000,2023-09-01 05:50:00
72,10,1000,2023-09-01 05:55:00
73,20,4000,2023-09-01 06:00:00
74,20,3000,2023-09-01 06:05:00
75,40,3000,2023-09-01 06:10:00
76,30,2000,2023-09-01 06:15:00
77,10,1000,2023-09-01 06:20:00
78,20,2000,2023-09-01 06:25:00
79,20,4000,2023-09-01 06:30:00
80,20,3000,2023-09-01 06:35:00
81,10,3000,2023-09-01 06:40:00
82,40,3000,2023-09-01 06:45:00
83,30,3000,2023-09-01 06:50:00
